"snippet","data_ref","x","y"
"g","bwv245-main.ly:124:5",20.489,47.873
"bes","bwv245-main.ly:93:5",20.489,40.373
"d'","bwv245-main.ly:62:5",20.489,33.873
"g'","bwv245-main.ly:17:5",20.489,23.373
"c","bwv245-main.ly:126:5",25.391,49.873
"bes","bwv245-main.ly:95:5",25.391,40.373
"ees'","bwv245-main.ly:64:5",25.391,33.373
"g'","bwv245-main.ly:19:5",25.391,23.373
"d","bwv245-main.ly:126:8",27.894,49.373
"d'","bwv245-main.ly:64:11",27.894,33.873
"ees","bwv245-main.ly:126:10",30.407,48.873
"a","bwv245-main.ly:95:9",30.407,40.873
"c'","bwv245-main.ly:64:14",30.407,34.373
"g'","bwv245-main.ly:19:8",30.407,23.373
"g","bwv245-main.ly:95:12",32.984,41.373
"d","bwv245-main.ly:126:15",35.561,49.373
"a","bwv245-main.ly:95:14",35.561,40.873
"d'","bwv245-main.ly:64:18",35.561,33.873
"fis'","bwv245-main.ly:19:11",35.561,23.873
"c","bwv245-main.ly:126:17",39.9,49.873
"fis","bwv245-main.ly:95:17",39.9,41.873
"a","bwv245-main.ly:64:21",39.9,35.373
"d'","bwv245-main.ly:19:25",39.9,24.873
"bes,","bwv245-main.ly:128:5",44.896,50.373
"g","bwv245-main.ly:97:5",44.896,41.373
"d'","bwv245-main.ly:66:5",44.896,33.873
"g'","bwv245-main.ly:21:5",44.896,23.373
"e'","bwv245-main.ly:66:9",47.833,33.373
"a,","bwv245-main.ly:128:10",51.186,50.873
"c'","bwv245-main.ly:97:7",51.186,39.873
"fis'","bwv245-main.ly:66:12",51.186,32.873
"a'","bwv245-main.ly:21:8",51.186,22.873
"g,","bwv245-main.ly:128:13",55.107,51.373
"d'","bwv245-main.ly:97:10",55.107,39.373
"g'","bwv245-main.ly:66:18",55.107,32.373
"bes'","bwv245-main.ly:21:11",55.107,22.373
"g","bwv245-main.ly:128:16",58.922,47.873
"d'","bwv245-main.ly:97:13",58.922,39.373
"g'","bwv245-main.ly:66:21",58.922,32.373
"bes'","bwv245-main.ly:21:16",58.922,22.373
"fis","bwv245-main.ly:130:5",64.787,48.373
"ees'","bwv245-main.ly:99:5",64.787,38.873
"a'","bwv245-main.ly:68:5",64.787,31.873
"c''","bwv245-main.ly:23:5",64.787,21.873
"g","bwv245-main.ly:130:9",68.49,47.873
"d'","bwv245-main.ly:99:10",68.49,39.373
"g'","bwv245-main.ly:68:8",68.49,32.373
"bes'","bwv245-main.ly:23:9",68.49,22.373
"d","bwv245-main.ly:130:11",72.125,49.373
"d'","bwv245-main.ly:99:13",72.125,39.373
"fis'","bwv245-main.ly:68:11",72.125,32.873
"a'","bwv245-main.ly:23:14",72.125,22.873
"d","bwv245-main.ly:130:13",76.464,49.373
"d'","bwv245-main.ly:99:16",76.464,39.373
"fis'","bwv245-main.ly:68:16",76.464,32.873
"a'","bwv245-main.ly:23:26",76.464,22.873
"g","bwv245-main.ly:132:5",81.523,47.873
"d'","bwv245-main.ly:101:5",81.523,39.373
"g'","bwv245-main.ly:70:5",81.523,32.373
"bes'","bwv245-main.ly:25:5",81.523,22.373
"c'","bwv245-main.ly:132:7",86.184,46.373
"ees'","bwv245-main.ly:101:8",86.184,38.873
"a'","bwv245-main.ly:70:8",86.184,31.873
"c''","bwv245-main.ly:25:10",86.184,21.873
"bes","bwv245-main.ly:132:10",89.945,46.873
"f'","bwv245-main.ly:101:13",89.945,38.373
"bes'","bwv245-main.ly:70:11",89.945,31.373
"d''","bwv245-main.ly:25:14",89.945,21.373
"ees'","bwv245-main.ly:101:17",94.142,38.873
"c''","bwv245-main.ly:25:19",94.142,21.873
"aes","bwv245-main.ly:132:14",98.207,47.373
"d'","bwv245-main.ly:101:22",98.207,39.373
"f'","bwv245-main.ly:70:16",98.207,32.873
"bes'","bwv245-main.ly:25:23",98.207,22.373
"c'","bwv245-main.ly:101:25",100.71,39.873
"g","bwv245-main.ly:134:5",104.302,47.873
"bes","bwv245-main.ly:103:5",104.302,40.373
"g'","bwv245-main.ly:72:5",104.302,32.373
"ees''","bwv245-main.ly:27:5",104.302,20.873
"a'","bwv245-main.ly:72:9",106.805,31.873
